Events,Gold,Silver,Bronze,Year,Gender
55 kg (06.04),Mirco Scarantino Italy  116 + 145 = 261[n 1]​,Anguel Rusev Bulgaria  110 + 146 = 256[n 1]​,Muammer Şahin Turkey  112 + 135 = 247[n 1]​,2019,Masculine
61 kg (07.04),Henadz Laptseu Belarus  133 + 153 = 286,Bünyamin Sezer Turkey  132 + 151 = 283,Ferdi Hardal Turkey  127 + 155 = 282,2019,Masculine
67 kg (08.04),Bernardin Matam France  137 + 175 = 312,Simon Brandhuber Germany  146 + 165 = 311,Goga Chjeidze Georgia  139 + 169 = 308,2019,Masculine
73 kg (09.04),Bozhidar Andreev Bulgaria  153 + 192 = 345,Briken Calja Albania  156 + 183 = 339,Vadzim Lijarad Belarus  153 + 182 = 335,2019,Masculine
81 kg (10.04),Antonino Pizzolato Italy  155 + 201 = 356,Piotr Asayonak Belarus  159 + 196 = 355,Ritvars Suharevs Latvia  162 + 192 = 354,2019,Masculine
89 kg (11.04),Hakob Mkrtchian Armenia  164 + 207 = 371,Revaz Davitadze Georgia  170 + 200 = 370,Davit Hovhannisian Armenia  165 + 195 = 360,2019,Masculine
96 kg (12.04),Yauheni Tsijantsou Belarus  178 + 222 = 400,Yegor Klimonov Russia  168 + 210 = 378,Anton Pliesnoi Georgia  173 + 204 = 377,2019,Masculine
102 kg (13.04),Dmytro Chumak Ukraine  175 + 216 = 391,Samvel Gasparian Armenia  168 + 209 = 377,Vadzim Straltsou Belarus  170 + 206 = 376,2019,Masculine
109 kg (13.04),Simon Martirosian Armenia  192 + 235 = 427,Andrei Aramnau Belarus  190 + 221 = 411,Rodion Bochkov Russia  192 + 218 = 410,2019,Masculine
109 kg (13.04),Lasha Talajadze Georgia  218 + 260 = 478,Irakli Turmanidze Georgia  206 + 241 = 447,Ruben Alexanian Armenia  195 + 245 = 440,2019,Masculine
45 kg (06.04),Şaziye Erdoğan Turkey  75 + 88 = 163[n 1]​,Ivana Petrova Bulgaria  69 + 89 = 158[n 1]​,Yuliya Asayonak Belarus  69 + 81 = 150[n 1]​,2019,Femenine
49 kg (06.04),Elena Andrieș Romania  87 + 103 = 190,Kristina Sobol Russia  85 + 95 = 180,Giorgia Russo Italy  75 + 103 = 178,2019,Femenine
55 kg (07.04),Joanna Łochowska Poland  87 + 112 = 199,Svetlana Yershova Russia  90 + 108 = 198,Kristina Novitskaya Russia  85 + 105 = 190,2019,Femenine
59 kg (08.04),Rebeka Koha Latvia  101 + 120 = 221,Tatiana Aleyeva Russia  94 + 120 = 214,Alexandra Kozlova Russia  96 + 117 = 213,2019,Femenine
64 kg (09.04),Loredana Toma Romania  111 + 128 = 239,Irina Lepșa Romania  102 + 127 = 229,Zoe Smith UK  96 + 128 = 224,2019,Femenine
71 kg (10.04),Anastasiya Romanova Russia  112 + 128 = 240,Emily Godley UK  93 + 123 = 216,Mădălina Molie Romania  101 + 114 = 215,2019,Femenine
76 kg (11.04),Daria Naumava Belarus  106 + 136 = 242,Lidia Valentín[2]​ Spain  108 + 133 = 241,Patricia Strenius Sweden  101 + 132 = 233,2019,Femenine
81 kg[n 2]​ (12.04),Nina Schroth Germany  102 + 120 = 222,Anna Van Bellinghen Belgium  103 + 118 = 221,Liana Guiurdzhian Armenia  97 + 120 = 217,2019,Femenine
87 kg (12.04),Xeniya Pasjina Russia  110 + 132 = 242,Diana Mstiyeva Russia  110 + 130 = 240,Sarah Fischer Austria  102 + 129 = 231,2019,Femenine
87 kg (13.04),Tatiana Kashirina Russia  146 + 185 = 331,Anastasiya Lysenko Ukraine  120 + 148 = 268,Emily Campbell UK  115 + 145 = 260,2019,Femenine
